age,total_population,males,females,hispanic_total,hispanic_males,hispanic_females,native_total,native_males,native_females,asian_total,asian_males,asian_females,black_total,black_males,black_females,white_total,white_males,white_females
0,77.5,74.8,80.2,80.0,77.0,82.8,67.8,64.5,71.3,84.4,82.3,86.3,72.8,69.1,76.5,77.5,75.1,80.1
1,76.9,74.3,79.6,79.4,76.4,82.2,67.4,64.2,70.8,83.7,81.6,85.6,72.6,68.9,76.3,76.9,74.4,79.4
2,75.9,73.3,78.6,78.4,75.5,81.3,66.5,63.3,69.9,82.7,80.7,84.6,71.7,68.0,75.3,75.9,73.5,78.5
3,74.9,72.3,77.7,77.4,74.5,80.3,65.5,62.3,69.0,81.8,79.7,83.6,70.7,67.0,74.4,74.9,72.5,77.5
4,74.0,71.3,76.7,76.4,73.5,79.3,64.6,61.4,68.0,80.8,78.7,82.6,69.7,66.0,73.4,73.9,71.5,76.5
5,73.0,70.4,75.7,75.4,72.5,78.3,63.6,60.4,67.0,79.8,77.7,81.6,68.8,65.1,72.4,72.9,70.5,75.5
6,72.0,69.4,74.7,74.4,71.5,77.3,62.6,59.4,66.0,78.8,76.7,80.6,67.8,64.1,71.4,72.0,69.5,74.5
7,71.0,68.4,73.7,73.5,70.5,76.3,61.6,58.4,65.1,77.8,75.7,79.6,66.8,63.1,70.5,71.0,68.5,73.5
8,70.0,67.4,72.7,72.5,69.5,75.3,60.6,57.4,64.1,76.8,74.7,78.6,65.8,62.1,69.5,70.0,67.5,72.5
9,69.0,66.4,71.7,71.5,68.5,74.3,59.7,56.5,63.1,75.8,73.7,77.6,64.8,61.1,68.5,69.0,66.6,71.5
10,68.0,65.4,70.7,70.5,67.5,73.3,58.7,55.5,62.1,74.8,72.7,76.6,63.8,60.1,67.5,68.0,65.6,70.5
11,67.0,64.4,69.7,69.5,66.5,72.3,57.7,54.5,61.1,73.8,71.7,75.6,62.8,59.2,66.5,67.0,64.6,69.5
12,66.0,63.4,68.7,68.5,65.6,71.3,56.7,53.5,60.1,72.8,70.7,74.6,61.9,58.2,65.5,66.0,63.6,68.5
